Jun.2015.1,Simplify,June.2015,1,1. Which of the following expressions is equivalent to a(4 – a) – 5(a + 7) ?,,,,,,
Jun.2015.A,Simplify,June.2015,A,A. -2a – 35,B. -2a + 7,,,,,
Jun.2015.C,Simplify,June.2015,C,C. –a2 – a + 7,,,,,,
Jun.2015.D,Simplify,June.2015,D,D. –a2 – a + 7,,,,,,
Jun.2015.E,Simplify,June.2015,E,E. -2a3 – 35  ,,,,,,
Jun.2016.13,Simplify,June.2016,13,13. Which of the following expressions is equal to (3x2 – 4x – 5) – (–x2 + 6x +7) for all real values of x ?,,,,,,
Jun.2016.A,Simplify,June.2016,A,A. 2x2 – 10x – 12 ,,,,,,
Jun.2016.B,Simplify,June.2016,B,B. 2x2 – 10x – 2,,,,,,
Jun.2016.C,Simplify,June.2016,C,C. 4x2 – 10x – 12,,,,,,
Jun.2016.D,Simplify,June.2016,D,D. 4x2 – 10x + 2,,,,,,
Jun.2016.E,Simplify,June.2016,E,E. 4x2 + 2x + 2,,,,,,
Apr.2016.3,Simplify,April.2016,3,3. (9m – 4n) – (2n + 5m) is equivalent to:,A. 4m – 6n,B. 4m – 2n,C. 5m + 3n,D. 7m – 9n,E. 7m + n,
Dec.2016.28,Simplify,December.2016,28,28. Which of the following operations will produce the largest result when substituted for the blank in the expressions 11 _____ (-1/83) ?,,,,,,
Dec.2016.F,Simplify,December.2016,F,F. Averaged with,,,,,,
Dec.2016.G,Simplify,December.2016,G,G. Divided by,H. Minus,J. Plus,,,,
Dec.2016.K,Simplify,December.2016,K,K. Multiplied by,,,,,,
Dec.2016.31,Simplify,December.2016,31,31. Which of the following expressions is equal to 3 / (4 – rad5) ?,A. 3/11,B. 3/7,,,,
Dec.2016.C,Simplify,December.2016,C,C. (12 – 3rad5) / 21,,,,,,
Dec.2016.D,Simplify,December.2016,D,D. (12 + rad15) / 11,,,,,,
Dec.2016.E,Simplify,December.2016,E,E. (12 + 3rad5) / 11,,,,,,
Jun.2017.7,Simplify,June.2017,7,7. What is the sum of 0.1x2 + 3x + 80 and 0.5x2 - 2x + 60 for all x?,,,,,,
Jun.2017.-0,Simplify,June.2017,-0,-0.4x2 + 5x + 20,,,,,,
Jun.2017.0,Simplify,June.2017,0,0.6x2 + x + 140,,,,,,
Jun.2017.0,Simplify,June.2017,0,0.6x2 + 5x + 140,x2 + 5x + 140,,,,,
Jun.2017.5,Simplify,June.2017,5,5.6x2 + 140,,,,,,
Jun.2017.14,Simplify,June.2017,14,14. Which of the following integers is closest to rad(50)/2 ?,F. 3,G. 4,H. 5,J. 13, K. 14,
Jun.2017.37,Simplify,June.2017,37,"37. For all real numbers x such that x =/= 0, 4/5 + 7/x = ?",A. 11 / 5x,B. 28 / 5x,,,,
Jun.2017.C,Simplify,June.2017,C,C. 11 / (5 + x),,,,,,
Jun.2017.D,Simplify,June.2017,D,D. (7x + 20) / (5 + x),,,,,,
Jun.2017.E,Simplify,June.2017,E,E. (4x + 35) / 5x,,,,,,
Apr.2017.25,Simplify,April.2017,25,25. (4.8 x 10 -7 ) / (1.6 x 10 -11 ) = ?,,,,,,
Apr.2017.A,Simplify,April.2017,A,A. 3.0 x 10 4,,,,,,
Apr.2017.B,Simplify,April.2017,B,B. 3.0 x 10 -4,,,,,,
Apr.2017.C,Simplify,April.2017,C,C. 3.0 x 10-18,,,,,,
Apr.2017.D,Simplify,April.2017,D,D. 3.2 x 10 18,,,,,,
