Apr.2015.51,Trig,April.2015,51,"51. What are the values of θ, between 0 and 2π, when tanθ= -1?",π4/ and (3π)/4 only,(3π)/4 and (5π)/4 only,(3π)/4 and (7π)/4 only,(5π)/4 and (7π)/4 only,"π/4, (3π)/4, (5π)/4, and (7π)/4"
Apr.2015.58,Trig,April.2015,58,"58. In the standard (x,y) coordinate plane below, B is on the positive x-axis, the measure of (angle)AOB is 150°, and the length of (line)AO is 1 coordinate unit. What are the coordinates of A? ","F. (-rad3/2, 1/2)","G. (-rad(2)/2, rad(2)/2","H. (-1/2, rad(3)/2)","J. (rad(3)/2, -1/2)","K. (rad(2)/2, -rad(2)/2)"
Apr.2015.59,Trig,April.2015,59,"59) Which of the following polar coordinates represent the same location as (3, 45°)?","(3, -315°)","(3, -225°)","(3, -45°)","(3, 135°)","(3, 315°)"
Jun.2015.39,Trig,June.2015,39,39. What is the amplitude of the function f(x) = ½cos(3x + π)?,A. 1/3,B. ½,C. 3/2,D. 2,E. 3
Apr.2016.38,Trig,April.2016,38,38. The function f(x) = 0.25sin(4x) is graphed below for 0 ≤ x ≤ 2π. What is the period of the function? ,F. π/2,G. π/4,H. π/8,J. π,K. 2 π
Jun.2016.53,Trig,June.2016,53,"53. Green Camp and Blue Camp lie on opposite sides of Red Lake. A boat dock is located 1,000 yards from Green Camp. The campers estimated the angles between these 3 locations to be as shown on the map below. Using these estimates, which of the following expressions gives the distance, in yards, between Green Camp and Blue Camp?","5,000/11","1,000/(cos20°)","1,000/(sin110°)","[(1,000)(sin50°)]/(sin110°)","1,000tan50°"
Jun.2016.56,Trig,June.2016,56,"56. In the standard (x,y) coordinate plane below, ϴ is the radian measure of any angle in standard position with the point (r,s) on the terminal side. Which of the following points is on the terminal side of the angle in standard position having radian measure π - ϴ? ","F. (-r, s)","G. (r, -s)","H. (-s, -r)","J. (-s, r)","K. (s, -r)"
Dec.2016.14,Trig,December.2016,14,"14. Given that sin2x = 4/13, what is cos2x?",4/9,9/4,9/13,13/9,13/4
Dec.2016.26,Trig,December.2016,26,26. Angle (angle)JKL is shown below with the given lengths in coordinate units. What is the measure of (angle)JKL in radians?,2/(3π),3/(2π),π/3,(2π)/3,(4π)/3
Dec.2016.42,Trig,December.2016,42,"42. Suspended from the ceiling is a weight on a large spring that is oscillating up and down. The distance, d inches, between the location of the center of the mass of the weight after t seconds and the weight’s equilibrium location at t = 0 is modeled by the function d = 5sin(4πt). What is the amplitude of the function?",F. 1/2 ,G. 2,H. 4,J. 5,K. 10
Jun.2017.42,Trig,June.2017,42,"42. For all x such that 0 ≤ x ≤ 90, which of the following expressions is NOT equal to sinx°?",-sin(-x°),sin(-x°),cos(90 - x)°,cos(x - 90)°,Rad (1 - (cosx°)2)
Apr.2017.54,Trig,April.2017,54,"54. One of the following graphs in the standard (x, y) coordinate plane is the graph of y = sin2x + cos2x over the domain –π/2 ≤ x ≤ π/2. Which one?",F. [Image],J. [Image],G. [Image],K. [Image],H. [Image]
Apr.2017.55,Trig,April.2017,55,55. What is the period of the function f(x) = csc(4x)?,A. π,B. 2π,C. 4π,D. π/4,E. π/2
Apr.2017.59,Trig,April.2017,59,"59. For -(π/2) ≤ θ ≤ (π/2), |sinθ| ≥ 1 is true for all and only the values of n in which of the following sets?","{(-π/2), (π/2)}",{π/2},{ θ | (-π/2) < θ < (π/2)},{ θ | (-π/2) ≤ θ ≤ (π/2)},The empty set
